Id,Name,Code,Coefficient
525,Quận 2,VN.HC.QB,2
11,Ba Đình,VN.HI.BD,2
19,Tây Hồ,VN.HI.TH,2
20,Thanh Xuân,VN.HI.TX,2
521,Quận 1,VN.HC.QA,2
31,Quốc Oai,VN.HI.QO,2
711,Bắc Từ Liêm,VN.HI.BTL,2
37,Nam Từ Liêm,VN.HI.TL,2
13,Đống Đa,VN.HI.DD,2
17,Hoàn Kiếm,VN.HI.HK,2
12,Cầu Giấy,VN.HI.CG,2
14,Hà Đông,VN.HI.HG,2
15,Hai Bà Trưng,VN.HI.HB,2
25,Gia Lâm,VN.HI.GL,2
26,Hoài Đức,VN.HI.HC,2
22,Chương Mỹ,VN.HI.CM,2
27,Mê Linh,VN.HI.ML,2
23,Đan Phượng,VN.HI.DP,2
35,Thanh Trì,VN.HI.TT,2
34,Thanh Oai,VN.HI.TO,2
36,Thường Tín,VN.HI.TN,2
38,Ứng Hoà,VN.HI.UH,2
28,Mỹ Đức,VN.HI.MD,2
24,Đông Anh,VN.HI.DA,2
16,Hoàng Mai,VN.HI.HM,2
18,Long Biên,VN.HI.LB,2
33,Thạch Thất,VN.HI.TC,2
29,Phúc Thọ,VN.HI.PT,2
32,Sóc Sơn,VN.HI.SS,2
10,Sơn Tây,VN.HI.ST,2
30,Phú Xuyên,VN.HI.PX,2
519,Gò Vấp,VN.HC.GV,2
520,Phú Nhuận,VN.HC.PN,2
517,Bình Tân,VN.HC.BT,2
536,Bình Chánh,VN.HC.BC,2
526,Quận 3,VN.HC.QC,2
527,Quận 4,VN.HC.QD,2
528,Quận 5,VN.HC.QE,2
529,Quận 6,VN.HC.QF,2
530,Quận 7,VN.HC.QG,2
531,Quận 8,VN.HC.QH,2
534,Tân Phú,VN.HC.TP,2
524,Quận 12,VN.HC.QL,2
535,Thủ Đức,VN.HC.TD,2
532,Quận 9,VN.HC.QI,2
538,Củ Chi,VN.HC.CC,2
539,Hóc Môn,VN.HC.HM,2
540,Nhà Bè,VN.HC.NB,2
523,Quận 11,VN.HC.QK,2
522,Quận 10,VN.HC.QJ,2
518,Bình Thạnh,VN.HC.BH,2
533,Tân Bình,VN.HC.TB,2
21,Ba Vì,VN.HI.BV,2
